#* opts
# style NewRibbons
# header1 mol
# format_data %8.4f
# header2 frame
# colorID 0
# collections rmsd avg std min max
# sets dual
# format_scale %4.2f
# ascii 0
# format_key %3d %3d
# connect lines
# formats f
# calctype rmsd
# mode frames
# color Molecule
#* guiopts
# byres 1
# align 0
# force_samemols 0
# diagonal 0
#* sets
# mol2_def id
# mol_all 0 1
# mol1 0
# mol2 1
# rep_sel protein
# samemols 0
# frame1_def all
# frame2_def all
# frame1 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# frame2 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# sel1 protein
# sel2 protein
# mol1_def id
    mol1   frame1       mol2   frame2       rmsd      avg      std      min      max
       0       13          1        1     2.7027   2.0193   1.9538   0.2688  13.2352
       0       13          1        2     2.3413   1.8137   1.5626   0.2456  10.9095
       0       13          1        3     2.3405   1.8317   1.4486   0.2575   8.4167
       0       13          1        4     2.2153   1.8366   1.2045   0.3627   6.7953
       0       13          1        5     2.4772   1.9553   1.8171   0.4609  14.4019
       0       13          1        6     2.8120   2.1067   2.1248   0.3468  16.0258
       0       13          1        7     2.8652   2.1103   2.3524   0.2564  18.1996
       0       13          1        8     2.2153   1.8292   1.3906   0.3390  10.0213
       0       13          1        9     2.3244   1.8673   1.4285   0.4368  11.5675
       0       13          1       10     3.5578   2.3180   3.2169   0.2778  23.8307
       0       13          1       11     2.9914   2.1393   2.5108   0.3171  18.9325
       0       13          1       12     2.2976   1.7990   1.3369   0.2734   7.5776
       0       13          1       13     0.0000   0.0000   0.0000   0.0000   0.0000
       0       13          1       14     3.0106   2.1316   2.5231   0.4462  19.7759
       0       13          1       15     2.0249   1.6784   1.1934   0.2101   8.0683
       0       13          1       16     2.9602   2.0967   2.4017   0.1585  18.9163
       0       13          1       17     2.5829   1.9567   1.9389   0.2042  13.9226
       0       13          1       18     2.8420   2.0820   2.2076   0.3269  17.0221
       0       13          1       19     2.4848   1.9818   1.7443   0.2617  13.0657
       0       14          1        0     3.0878   2.0781   2.6469   0.4298  18.9239
       0       14          1        1     3.3584   2.2819   3.0272   0.4423  24.1831
       0       14          1        2     3.1235   2.1379   2.8101   0.5563  22.9099
       0       14          1        3     2.3985   1.7962   1.9509   0.3976  17.1855
